KOD_SUKL;KOD_LATKY;SQ;S;AMNT_OD;AMNT;UN
0000009;12;1;L;;450;MG
0000009;223;2;L;;50;MG
0000009;2898;3;X;;PL;MG
0000009;1871;4;X;;PL;MG
0000113;1631;1;L;;250;MG
0000113;2624;2;X;;PL;MG
0000113;2970;3;X;;PL;MG
0000113;2855;4;X;;PL;MG
0000113;1383;5;X;;PL;MG
0000113;1871;6;X;;PL;MG
0000113;9811;7;X;;PL;MG
0000113;16784;8;X;;PL;MG
0000168;728;1;L;;25;MG
0000168;2624;2;X;;PL;MG
0000168;2970;3;X;;PL;MG
0000168;2855;4;X;;PL;MG
0000168;1871;5;X;;PL;MG
0000168;15662;6;X;;PL;MG
0000269;1190;1;L;;5;MG
0000269;2624;2;X;;PL;MG
0000269;2970;3;X;;PL;MG
0000269;3732;4;X;;PL;MG
0000269;2855;5;X;;PL;MG
0000269;1871;6;X;;PL;MG
0000269;3059;7;X;;PL;MG
0000280;1230;1;L;;20;MG
0000280;2624;2;X;;PL;MG
0000280;2970;3;X;;PL;MG
0000280;2855;4;X;;PL;MG
0000280;15662;5;X;;PL;MG
0000280;1871;6;X;;PL;MG
0000280;519;7;X;;PL;MG
0000362;545;1;L;;1,2;MG
0000362;0;2;Z;;;
0000362;543;3;O;;1;MG
0000362;2467;4;X;;PL;MG
0000362;1322;5;X;;PL;MG
0000362;20300;6;X;;;QS
0000362;2044;7;A;;1;ML
0000409;5599;1;L;;0,671;G
0000409;20300;2;X;;;QS
0000409;2044;3;A;;10;ML
0000489;1725;1;L;;10;MG
0000489;1166;2;X;;PL;MG
0000489;10060;3;X;;PL;MG
0000489;519;4;X;;PL;MG
0000489;20300;5;X;;;QS
0000489;2044;6;A;;1;ML
0000502;1489;1;L;;100;MG
0000502;1322;2;X;;PL;MG
0000502;2044;3;A;;10;ML
0000502;;4;T;;10;DF
0000536;9945;1;L;;1,8872;MG
0000536;0;2;Z;;;
0000536;825;3;O;;1;MG
0000536;2467;4;X;;PL;MG
0000536;519;5;X;;PL;MG
0000536;2044;6;A;;1;ML
0000569;9054;1;L;;0,3;MG
0000569;2624;2;X;;PL;MG
0000569;4078;3;X;;PL;MG
0000569;4987;4;X;;PL;MG
0000569;2378;5;X;;PL;MG
0000569;;6;X;;;
0000569;4290;7;X;;PL;MG
0000569;2710;8;X;;PL;MG
0000569;748;9;X;;PL;MG
0000569;2400;10;X;;PL;MG
0000584;1230;1;L;;50;MG
0000584;21076;2;X;;;QS
0000584;519;3;X;;PL;MG
0000584;2044;4;A;;1;ML
0000591;9054;1;L;;0,3;MG
0000591;2624;2;X;;PL;MG
0000591;4078;3;X;;PL;MG
0000591;4987;4;X;;PL;MG
0000591;2378;5;X;;PL;MG
0000591;;6;X;;;
0000591;4290;7;X;;PL;MG
0000591;2710;8;X;;PL;MG
0000591;748;9;X;;PL;MG
0000591;2400;10;X;;PL;MG
0000610;61;1;L;;240;MG
0000610;0;2;Z;;;
0000610;1444;3;O;;205,7;MG
0000610;2757;4;O;;34,3;MG
0000610;2044;5;A;;10;ML
0000612;2465;1;L;;0,5;MG
0000612;1322;2;X;;PL;MG
0000612;20300;3;X;;;QS
0000612;2044;4;A;;1;ML
0000616;1451;1;L;;100;MG
0000616;9948;2;X;;PL;MG
0000616;2044;3;A;;2;ML
0000641;425;1;L;;0,3;MG
0000641;1322;2;X;;PL;MG
0000641;2044;3;A;;1;ML
0000643;425;1;L;;1;MG
0000643;1322;2;X;;PL;MG
0000643;2044;3;A;;1;ML
0000707;13230;1;L;;305,25;MG
0000707;0;2;Z;;;
0000707;1874;3;O;;300;MG
0000707;732;4;L;;150;MG
0000707;3803;5;X;;PL;MG
0000707;2034;6;X;;PL;G
0000707;667;7;X;;PL;G
0000707;1065;8;X;;PL;G
0000707;2568;9;X;;PL;MG
0000707;3448;10;X;;PL;MG
0000707;2643;11;X;;PL;MG
0000707;2043;12;A;;15;G
0000766;9054;1;L;;0,3;MG
0000766;2624;2;X;;PL;MG
0000766;4078;3;X;;PL;MG
0000766;4987;4;X;;PL;MG
0000766;2378;5;X;;PL;MG
0000766;;6;X;;;
0000766;4290;7;X;;PL;MG
0000766;2710;8;X;;PL;MG
0000766;748;9;X;;PL;MG
0000766;2400;10;X;;PL;MG
0000858;732;1;L;;10;MG
0000858;1065;2;X;;PL;MG
0000858;2527;3;X;;PL;MG
0000858;2761;4;X;;PL;MG
0000858;2658;5;X;;PL;MG
0000858;2105;6;X;;PL;MG
0000858;2647;7;X;;PL;MG
0000858;3805;8;X;;PL;MG
0000858;1216;9;X;;PL;MG
0000858;2721;10;X;;PL;MG
0000858;934;11;X;;PL;MG
0000858;2043;12;A;;1;G
0000876;1792;1;L;;5;MG
0000876;2644;2;X;;PL;G
0000876;2912;3;X;;PL;MG
0000876;2105;4;X;;PL;MG
0000876;2043;5;A;;5;G
0000876;;6;T;;1;DF
0000884;9054;1;L;;0,4;MG
0000884;2624;2;X;;PL;MG
0000884;4078;3;X;;PL;MG
0000884;4987;4;X;;PL;MG
0000884;2378;5;X;;PL;MG
0000884;;6;X;;;
0000884;4290;7;X;;PL;MG
0000884;2710;8;X;;PL;MG
0000884;748;9;X;;PL;MG
0000884;2400;10;X;;PL;MG
0000911;9054;1;L;;0,4;MG
0000911;2624;2;X;;PL;MG
0000911;4078;3;X;;PL;MG
0000911;4987;4;X;;PL;MG
0000911;2378;5;X;;PL;MG
0000911;;6;X;;;
0000911;4290;7;X;;PL;MG
0000911;2710;8;X;;PL;MG
0000911;748;9;X;;PL;MG
0000911;2400;10;X;;PL;MG
0000943;9054;1;L;;0,4;MG
0000943;2624;2;X;;PL;MG
0000943;4078;3;X;;PL;MG
0000943;4987;4;X;;PL;MG
0000943;2378;5;X;;PL;MG
0000943;;6;X;;;
0000943;4290;7;X;;PL;MG
0000943;2710;8;X;;PL;MG
0000943;748;9;X;;PL;MG
0000943;2400;10;X;;PL;MG
0000961;2275;1;L;;25;G
0000961;2283;2;L;;25;G
0000961;2242;3;L;;10;G
0000961;2611;4;L;;10;G
0000961;646;5;L;;10;G
0000961;289;6;L;;10;G
0000961;2286;7;L;;10;G
0000961;;8;T;;1;DF
0000965;2245;1;L;;23;G
0000965;2244;2;L;;22;G
0000965;2600;3;L;;22;G
0000965;2286;5;L;;10;G
0000965;835;6;L;;1;G
0000965;2225;7;L;;8;G
0000965;13139;8;L;;5;G
0000966;170;1;L;;27,5;G
0000966;1510;2;L;;22,5;G
0000966;1017;3;L;;10;G
0000966;1090;4;L;;10;G
0000966;705;5;L;;11;G
0000966;1281;6;L;;2;G
0000966;2291;7;L;;10;G
0000966;14;8;L;;7;G
0000967;1547;1;L;;32;G
0000967;2612;2;L;;20;G
0000967;2608;3;L;;20;G
0000967;289;4;L;;7;G
0000967;1279;5;L;;7;G
0000967;2286;6;L;;7;G
0000967;835;7;L;;7;G
0000982;291;1;L;;25;G
0000984;9054;1;L;;0,4;MG
0000984;2624;2;X;;PL;MG
0000984;4078;3;X;;PL;MG
0000984;4987;4;X;;PL;MG
0000984;2378;5;X;;PL;MG
0000984;;6;X;;;
0000984;4290;7;X;;PL;MG
0000984;2710;8;X;;PL;MG
0000984;748;9;X;;PL;MG
0000984;2400;10;X;;PL;MG
0000992;9054;1;L;;0,4;MG
0000992;2624;2;X;;PL;MG
0000992;4078;3;X;;PL;MG
0000992;4987;4;X;;PL;MG
0000992;2378;5;X;;PL;MG
0000992;;6;X;;;
0000992;4290;7;X;;PL;MG
0000992;2710;8;X;;PL;MG
0000992;748;9;X;;PL;MG
0000992;2400;10;X;;PL;MG
0001017;9054;1;L;;0,4;MG
0001017;2624;2;X;;PL;MG
0001017;4078;3;X;;PL;MG
0001017;4987;4;X;;PL;MG
0001017;2378;5;X;;PL;MG
0001017;;6;X;;;
0001017;4290;7;X;;PL;MG
0001017;2710;8;X;;PL;MG
0001017;748;9;X;;PL;MG
0001017;2400;10;X;;PL;MG
0001066;965;1;L;;33000;IU
0001066;0;2;Z;;;
0001066;962;3;O;;10000;IU
0001066;116;4;L;;2500;IU
0001066;2034;5;X;;PL;G
0001066;2105;6;X;;PL;G
0001066;2912;7;X;;PL;G
0001066;2527;8;X;;PL;G
0001066;2643;9;A;;10;G
0001069;1009;1;L;;1;MU
0001069;2034;2;X;;PL;MG
0001069;2105;3;X;;PL;MG
0001069;2912;4;X;;PL;G
0001069;1065;5;X;;PL;MG
0001069;2643;6;A;;10;G
0001076;965;1;L;;16500;IU
0001076;0;2;Z;;;
0001076;962;3;O;;5000;IU
0001076;116;4;L;;1250;IU
0001076;1065;5;X;;PL;G
0001076;2912;6;X;;PL;G
0001076;2643;7;A;;5;G
0001077;965;1;L;;16500;IU
0001077;0;2;Z;;;
0001077;962;3;O;;5000;IU
0001077;116;4;L;;1250;IU
0001077;732;5;L;;0,025;G
0001077;2912;6;X;;PL;G
0001077;2527;7;X;;PL;G
0001077;2105;8;X;;PL;G
0001077;2034;9;X;;PL;G
0001077;2643;10;A;;5;G
0001125;951;1;L;;10;MG
0001125;1322;2;X;;PL;MG
0001125;55;3;X;;PL;MG
0001125;519;4;X;;PL;MG
0001125;20300;5;X;;;QS
0001125;2044;6;A;;1;ML
0001127;951;1;L;;10;MG
0001127;1322;2;X;;PL;MG
0001127;55;3;X;;PL;MG
0001127;519;4;X;;PL;MG
0001127;20300;5;X;;;QS
0001127;2044;6;A;;1;ML
0001182;12753;1;L;;5;MG
0001182;2624;2;X;;PL;MG
0001202;9054;1;L;;0,4;MG
0001202;2624;2;X;;PL;MG
0001202;4078;3;X;;PL;MG
0001202;4987;4;X;;PL;MG
0001202;2378;5;X;;PL;MG
0001202;;6;X;;;
0001202;4290;7;X;;PL;MG
0001202;2710;8;X;;PL;MG
0001202;748;9;X;;PL;MG
0001202;2400;10;X;;PL;MG
0001237;9054;1;L;;0,4;MG
0001237;2624;2;X;;PL;MG
0001237;4078;3;X;;PL;MG
0001237;4987;4;X;;PL;MG
0001237;2378;5;X;;PL;MG
0001237;;6;X;;;
0001237;4290;7;X;;PL;MG
0001237;2710;8;X;;PL;MG
0001237;748;9;X;;PL;MG
0001237;2400;10;X;;PL;MG
0001244;4622;1;L;;30;MG
0001244;2774;2;X;;PL;MG
0001244;748;3;X;;PL;MG
0001244;2378;4;X;;PL;MG
0001244;3453;5;X;;PL;MG
0001244;1300;6;X;;PL;MG
0001247;9054;1;L;;0,4;MG
0001247;2624;2;X;;PL;MG
0001247;4078;3;X;;PL;MG
0001247;4987;4;X;;PL;MG
0001247;2378;5;X;;PL;MG
0001247;;6;X;;;
0001247;4290;7;X;;PL;MG
0001247;2710;8;X;;PL;MG
0001247;748;9;X;;PL;MG
0001247;2400;10;X;;PL;MG
0001252;17839;1;L;;10;G
0001252;0;2;Z;;;
0001252;14472;3;O;;3,09;G
0001252;12572;4;O;;2,82;G
0001252;12877;5;O;;29,6;MG
0001252;5396;6;O;;1,2;G
0001252;13030;7;O;;2,5;G
0001252;11756;8;X;;PL;MG
0001252;2458;9;X;;PL;MG
0001252;2044;10;A;;100;ML
0001255;11194;1;L;;25;MG
0001255;875;2;X;;PL;MG
0001255;748;3;X;;PL;MG
0001255;1166;4;X;;PL;MG
0001255;4987;5;X;;PL;MG
0001255;13317;6;X;;PL;MG
0001255;3755;7;X;;PL;MG
0001255;3059;8;X;;PL;MG
0001255;2378;9;X;;PL;MG
0001255;;10;X;;;
0001255;748;11;X;;PL;MG
0001255;9872;12;X;;PL;MG
0001255;3765;13;X;;PL;MG
0001255;1383;14;X;;PL;MG
0001255;854;15;X;;PL;MG
0001255;2710;16;X;;PL;MG
0001255;934;17;X;;PL;MG
0001255;1169;18;X;;PL;MG
0001255;;19;X;;;
0001255;4804;20;X;;;QS
0001258;11194;1;L;;25;MG
0001258;875;2;X;;PL;MG
0001258;748;3;X;;PL;MG
0001258;1166;4;X;;PL;MG
0001258;4987;5;X;;PL;MG
0001258;13317;6;X;;PL;MG
0001258;3755;7;X;;PL;MG
0001258;3059;8;X;;PL;MG
0001258;2378;9;X;;PL;MG
0001258;;10;X;;;
0001258;748;11;X;;PL;MG
0001258;9872;12;X;;PL;MG
0001258;3765;13;X;;PL;MG
0001258;1383;14;X;;PL;MG
0001258;854;15;X;;PL;MG
0001258;2710;16;X;;PL;MG
0001258;934;17;X;;PL;MG
0001258;1169;18;X;;PL;MG
0001258;;19;X;;;
0001258;4804;20;X;;;QS
0001259;11194;1;L;;25;MG
0001259;875;2;X;;PL;MG
0001259;748;3;X;;PL;MG
0001259;1166;4;X;;PL;MG
0001259;4987;5;X;;PL;MG
0001259;13317;6;X;;PL;MG
0001259;3755;7;X;;PL;MG
0001259;3059;8;X;;PL;MG
0001259;2378;9;X;;PL;MG
0001259;;10;X;;;
0001259;748;11;X;;PL;MG
0001259;9872;12;X;;PL;MG
0001259;3765;13;X;;PL;MG
0001259;1383;14;X;;PL;MG
0001259;854;15;X;;PL;MG
0001259;2710;16;X;;PL;MG
0001259;934;17;X;;PL;MG
0001259;1169;18;X;;PL;MG
0001259;;19;X;;;
0001259;4804;20;X;;;QS
0001287;17839;1;L;;10;G
0001287;0;2;Z;;;
0001287;14472;3;O;;3,09;G
0001287;12572;4;O;;2,82;G
0001287;12877;5;O;;29,6;MG
0001287;5396;6;O;;1,2;G
0001287;13030;7;O;;2,5;G
0001287;11756;8;X;;PL;MG
0001287;2458;9;X;;PL;MG
0001287;2044;10;A;;100;ML
0001290;4622;1;L;;30;MG
0001290;2774;2;X;;PL;MG
0001290;748;3;X;;PL;MG
0001290;2378;4;X;;PL;MG
0001290;3453;5;X;;PL;MG
0001290;1300;6;X;;PL;MG
0001328;11523;1;L;;282;MG
0001328;0;2;Z;;;
0001328;929;3;O;;250;MG
0001328;2970;4;X;;PL;MG
0001328;4065;5;X;;PL;MG
0001328;1871;6;X;;PL;MG
0001328;2755;7;X;;PL;MG
0001328;2378;8;X;;PL;MG
0001410;18696;1;L;;815;MG
0001410;0;2;Z;;;
0001410;3801;3;O;;210;MG
0001410;13112;4;O;;520;MG
0001410;9820;5;X;;PL;G
0001410;5611;6;X;;PL;G
0001410;2105;7;X;;PL;G
0001410;2894;8;X;;PL;G
0001410;2043;9;X;;PL;G
0001410;2912;10;X;;PL;G
0001410;9811;11;X;;PL;G
0001410;4123;12;X;;PL;G
0001410;4360;13;X;;PL;G
0001410;95;14;X;;PL;G
0001410;2761;15;X;;PL;G
0001410;2378;16;X;;PL;MG
0001410;2527;17;X;;PL;G
0001410;1065;18;X;;PL;G
0001410;2763;19;X;;PL;G
0001410;1546;20;X;;PL;MG
0001410;2498;21;X;;PL;MG
0001410;2643;22;A;;100;G
0001411;18696;1;L;;815;MG
0001411;0;2;Z;;;
0001411;3801;3;O;;210;MG
0001411;13112;4;O;;520;MG
0001411;9820;5;X;;PL;G
0001411;5611;6;X;;PL;G
0001411;2105;7;X;;PL;G
0001411;2894;8;X;;PL;G
0001411;2043;9;X;;PL;G
0001411;2912;10;X;;PL;G
0001411;9811;11;X;;PL;G
0001411;4123;12;X;;PL;G
0001411;4360;13;X;;PL;G
0001411;95;14;X;;PL;G
0001411;2761;15;X;;PL;G
0001411;2378;16;X;;PL;MG
0001411;2527;17;X;;PL;G
0001411;1065;18;X;;PL;G
0001411;2763;19;X;;PL;G
0001411;1546;20;X;;PL;MG
0001411;2498;21;X;;PL;MG
0001411;2643;22;A;;100;G
0001412;1065;1;L;;48;G
0001412;13919;2;L;;44;G
0001412;13917;3;L;;1;G
0001412;13916;4;L;;6;G
0001412;5073;5;X;;PL;G
0001420;14148;1;L;;140,62;MG
0001420;0;2;Z;;;
0001420;9459;3;O;;125;MG
0001420;2378;4;X;;PL;MG
0001420;748;5;X;;PL;MG
0001420;3755;6;X;;PL;MG
0001420;3059;7;X;;PL;MG
0001420;2624;8;X;;PL;MG
0001421;14148;1;L;;281,25;MG
0001421;0;2;Z;;;
0001421;9459;3;O;;250;MG
0001421;2378;4;X;;PL;MG
0001421;1300;5;X;;PL;MG
0001421;748;6;X;;PL;MG
0001421;3755;7;X;;PL;MG
0001421;3059;8;X;;PL;MG
0001426;9374;1;L;;1,25;MG
0001426;3755;2;X;;PL;MG
0001426;4989;3;X;;PL;MG
0001426;9923;4;X;;PL;MG
0001426;5521;5;X;;PL;MG
0001426;16007;6;X;;PL;MG
0001435;9374;1;L;;1,25;MG
0001435;3755;2;X;;PL;MG
0001435;4989;3;X;;PL;MG
0001435;9923;4;X;;PL;MG
0001435;5521;5;X;;PL;MG
0001435;16007;6;X;;PL;MG
0001439;9374;1;L;;1,25;MG
0001439;3755;2;X;;PL;MG
0001439;4989;3;X;;PL;MG
0001439;9923;4;X;;PL;MG
0001439;5521;5;X;;PL;MG
0001439;16007;6;X;;PL;MG
0001452;17839;1;L;;10;G
0001452;0;2;Z;;;
0001452;14472;3;O;;3,09;G
0001452;12572;4;O;;2,82;G
0001452;12877;5;O;;29,6;MG
0001452;5396;6;O;;1,2;G
0001452;13030;7;O;;2,5;G
0001452;11756;8;X;;PL;MG
0001452;2458;9;X;;PL;MG
0001452;2044;10;A;;100;ML
0001453;9374;1;L;;1,25;MG
0001453;3755;2;X;;PL;MG
0001453;4989;3;X;;PL;MG
0001453;9923;4;X;;PL;MG
0001453;5521;5;X;;PL;MG
0001453;16007;6;X;;PL;MG
0001470;9374;1;L;;1,25;MG
0001470;3755;2;X;;PL;MG
0001470;4989;3;X;;PL;MG
0001470;9923;4;X;;PL;MG
0001470;5521;5;X;;PL;MG
0001470;16007;6;X;;PL;MG
0001474;9374;1;L;;2,5;MG
0001474;3755;2;X;;PL;MG
0001474;4256;3;X;;PL;MG
0001474;4989;4;X;;PL;MG
0001474;9923;5;X;;PL;MG
0001474;5521;6;X;;PL;MG
0001474;16007;7;X;;PL;MG
0001480;9374;1;L;;2,5;MG
0001480;3755;2;X;;PL;MG
0001480;4256;3;X;;PL;MG
0001480;4989;4;X;;PL;MG
0001480;9923;5;X;;PL;MG
0001480;5521;6;X;;PL;MG
0001480;16007;7;X;;PL;MG
0001491;9374;1;L;;2,5;MG
0001491;3755;2;X;;PL;MG
0001491;4256;3;X;;PL;MG
0001491;4989;4;X;;PL;MG
0001491;9923;5;X;;PL;MG
0001491;5521;6;X;;PL;MG
0001491;16007;7;X;;PL;MG
0001495;9374;1;L;;2,5;MG
0001495;3755;2;X;;PL;MG
0001495;4256;3;X;;PL;MG
0001495;4989;4;X;;PL;MG
0001495;9923;5;X;;PL;MG
0001495;5521;6;X;;PL;MG
0001495;16007;7;X;;PL;MG
0001501;9374;1;L;;2,5;MG
0001501;3755;2;X;;PL;MG
0001501;4256;3;X;;PL;MG
0001501;4989;4;X;;PL;MG
0001501;9923;5;X;;PL;MG
0001501;5521;6;X;;PL;MG
0001501;16007;7;X;;PL;MG
0001512;9374;1;L;;2,5;MG
0001512;3755;2;X;;PL;MG
0001512;4256;3;X;;PL;MG
0001512;4989;4;X;;PL;MG
0001512;9923;5;X;;PL;MG
0001512;5521;6;X;;PL;MG
0001512;16007;7;X;;PL;MG
0001517;9374;1;L;;2,5;MG
0001517;3755;2;X;;PL;MG
0001517;4256;3;X;;PL;MG
0001517;4989;4;X;;PL;MG
0001517;9923;5;X;;PL;MG
0001517;5521;6;X;;PL;MG
0001517;16007;7;X;;PL;MG
0001529;9374;1;L;;2,5;MG
0001529;3755;2;X;;PL;MG
0001529;4256;3;X;;PL;MG
0001529;4989;4;X;;PL;MG
0001529;9923;5;X;;PL;MG
0001529;5521;6;X;;PL;MG
0001529;16007;7;X;;PL;MG
0001537;9374;1;L;;2,5;MG
0001537;3755;2;X;;PL;MG
0001537;4256;3;X;;PL;MG
0001537;4989;4;X;;PL;MG
0001537;9923;5;X;;PL;MG
0001537;5521;6;X;;PL;MG
0001537;16007;7;X;;PL;MG
0001540;9374;1;L;;2,5;MG
0001540;3755;2;X;;PL;MG
0001540;4256;3;X;;PL;MG
0001540;4989;4;X;;PL;MG
0001540;9923;5;X;;PL;MG
0001540;5521;6;X;;PL;MG
0001540;16007;7;X;;PL;MG
0001543;9374;1;L;;2,5;MG
0001543;3755;2;X;;PL;MG
0001543;4256;3;X;;PL;MG
0001543;4989;4;X;;PL;MG
0001543;9923;5;X;;PL;MG
0001543;5521;6;X;;PL;MG
0001543;16007;7;X;;PL;MG
0001545;9374;1;L;;2,5;MG
0001545;3755;2;X;;PL;MG
0001545;4256;3;X;;PL;MG
0001545;4989;4;X;;PL;MG
0001545;9923;5;X;;PL;MG
0001545;5521;6;X;;PL;MG
0001545;16007;7;X;;PL;MG
0001556;2163;1;L;;1,2;MG
0001556;83;2;L;;0,6;MG
0001556;11077;3;L;;5,72;MG
0001556;2713;4;X;;PL;MG
0001556;1080;5;X;;PL;MG
0001556;11988;6;X;;PL;G
0001556;1417;7;X;;PL;MG
0001556;16687;8;X;;PL;MG
0001575;9374;1;L;;2,5;MG
0001575;3755;2;X;;PL;MG
0001575;4256;3;X;;PL;MG
0001575;4989;4;X;;PL;MG
0001575;9923;5;X;;PL;MG
0001575;5521;6;X;;PL;MG
0001575;16007;7;X;;PL;MG
0001580;9374;1;L;;2,5;MG
0001580;3755;2;X;;PL;MG
0001580;4256;3;X;;PL;MG
0001580;4989;4;X;;PL;MG
0001580;9923;5;X;;PL;MG
0001580;5521;6;X;;PL;MG
0001580;16007;7;X;;PL;MG
0001585;9374;1;L;;5;MG
0001585;3755;2;X;;PL;MG
0001585;4290;3;X;;PL;MG
0001585;4989;4;X;;PL;MG
0001585;9923;5;X;;PL;MG
0001585;5521;6;X;;PL;MG
0001585;16007;7;X;;PL;MG
0001586;9374;1;L;;5;MG
0001586;3755;2;X;;PL;MG
0001586;4290;3;X;;PL;MG
0001586;4989;4;X;;PL;MG
0001586;9923;5;X;;PL;MG
0001586;5521;6;X;;PL;MG
0001586;16007;7;X;;PL;MG
0001588;9374;1;L;;5;MG
0001588;3755;2;X;;PL;MG
0001588;4290;3;X;;PL;MG
0001588;4989;4;X;;PL;MG
0001588;9923;5;X;;PL;MG
0001588;5521;6;X;;PL;MG
0001588;16007;7;X;;PL;MG
0001605;9374;1;L;;5;MG
0001605;3755;2;X;;PL;MG
0001605;4290;3;X;;PL;MG
0001605;4989;4;X;;PL;MG
0001605;9923;5;X;;PL;MG
0001605;5521;6;X;;PL;MG
0001605;16007;7;X;;PL;MG
0001621;9374;1;L;;5;MG
0001621;3755;2;X;;PL;MG
0001621;4290;3;X;;PL;MG
0001621;4989;4;X;;PL;MG
0001621;9923;5;X;;PL;MG
0001621;5521;6;X;;PL;MG
0001621;16007;7;X;;PL;MG
0001622;51856;1;L;;;QS
0001622;51700;2;A;;4;G
0001622;;3;T;;1;DF
0001623;51856;1;L;;;QS
0001623;51700;2;A;;4;G
0001623;;3;T;;1;DF
0001624;51856;1;L;;;QS
0001624;51700;2;A;;4;G
0001624;;3;T;;1;DF
0001630;1750;1;L;;100;MG
0001630;14679;2;X;;PL;MG
0001630;3755;3;X;;PL;MG
0001630;2855;4;X;;PL;MG
0001630;2378;5;X;;PL;MG
0001630;2970;6;X;;PL;MG
0001630;1300;7;X;;PL;MG
0001630;1871;8;X;;PL;MG
0001631;1750;1;L;;100;MG
0001631;14679;2;X;;PL;MG
0001631;3755;3;X;;PL;MG
0001631;2855;4;X;;PL;MG
0001631;2378;5;X;;PL;MG
0001631;2970;6;X;;PL;MG
0001631;1300;7;X;;PL;MG
0001631;1871;8;X;;PL;MG
0001632;1750;1;L;;300;MG
0001632;3059;2;X;;PL;MG
0001632;3755;3;X;;PL;MG
0001632;2855;4;X;;PL;MG
0001632;2378;5;X;;PL;MG
0001632;2970;6;X;;PL;MG
0001632;1300;7;X;;PL;MG
0001632;1871;8;X;;PL;MG
0001633;1750;1;L;;100;MG
0001633;14679;2;X;;PL;MG
0001633;3755;3;X;;PL;MG
0001633;2855;4;X;;PL;MG
0001633;2378;5;X;;PL;MG
0001633;2970;6;X;;PL;MG
0001633;1300;7;X;;PL;MG
0001633;1871;8;X;;PL;MG
0001656;10211;1;L;;4,389;MG
0001656;0;2;Z;;;
0001656;10210;3;O;;4,2;MG
0001656;10245;4;X;;PL;MG
0001656;875;5;X;;PL;MG
0001656;1320;6;X;;PL;MG
0001656;1166;7;X;;PL;MG
0001656;;8;S;;1;DF
0001656;875;9;X;;PL;MG
0001656;2044;10;R;;2;ML
0001656;;11;S;;1;DF
0001673;453;1;L;;4,37;MG
0001673;0;2;Z;;;
0001673;16041;3;O;;4;MG
0001673;0;4;Z;;;
0001673;451;5;O;;3,325;MG
0001673;519;6;X;;PL;MG
0001673;1323;7;X;;PL;MG
0001673;21076;8;X;;;QS
0001673;20300;9;X;;;QS
0001673;4857;10;X;;PL;MG
0001673;2044;11;A;;1;ML
0001674;2571;1;L;;0,085;G
0001674;35;2;L;;0,001;G
0001674;11077;3;X;;PL;G
0001674;366;4;X;;PL;G
0001674;1323;5;X;;PL;G
0001674;14917;6;X;;PL;G
0001674;1216;7;X;;PL;G
0001674;2043;8;A;;1;ML
0001677;9374;1;L;;5;MG
0001677;3755;2;X;;PL;MG
0001677;4290;3;X;;PL;MG
0001677;4989;4;X;;PL;MG
0001677;9923;5;X;;PL;MG
0001677;5521;6;X;;PL;MG
0001677;16007;7;X;;PL;MG
0001699;10425;1;L;;10;MG
0001699;2624;2;X;;PL;MG
0001699;2970;3;X;;PL;MG
0001699;5214;4;X;;PL;MG
0001699;2378;5;X;;PL;MG
0001710;1750;1;L;;300;MG
0001710;3755;2;X;;PL;MG
0001710;3059;3;X;;PL;MG
0001710;2855;4;X;;PL;MG
0001710;2378;5;X;;PL;MG
0001710;1300;6;X;;PL;MG
0001711;1750;1;L;;300;MG
0001711;3755;2;X;;PL;MG
0001711;3059;3;X;;PL;MG
0001711;2855;4;X;;PL;MG
0001711;2378;5;X;;PL;MG
0001711;1300;6;X;;PL;MG
0001732;13151;1;L;;13,2;G
0001732;0;2;Z;;;
0001732;773;3;O;;6;G
0001732;9948;4;X;;PL;MG
0001732;12764;5;X;;PL;MG
0001732;1883;6;X;;PL;MG
0001732;21076;7;X;;;QS
0001732;20300;8;X;;;QS
0001732;2044;9;A;;20;ML
0001733;13151;1;L;;13,2;G
0001733;0;2;Z;;;
0001733;773;3;O;;6;G
0001733;9948;4;X;;PL;MG
0001733;12764;5;X;;PL;MG
0001733;1883;6;X;;PL;MG
0001733;21076;7;X;;;QS
0001733;20300;8;X;;;QS
0001733;2044;9;A;;20;ML
0001734;13151;1;L;;13,2;G
0001734;0;2;Z;;;
0001734;773;3;O;;6;G
0001734;9948;4;X;;PL;MG
0001734;12764;5;X;;PL;MG
0001734;1883;6;X;;PL;MG
0001734;21076;7;X;;;QS
0001734;20300;8;X;;;QS
0001734;2044;9;A;;20;ML
0001735;13151;1;L;;13,2;G
0001735;0;2;Z;;;
0001735;773;3;O;;6;G
0001735;9948;4;X;;PL;MG
0001735;12764;5;X;;PL;MG
0001735;1883;6;X;;PL;MG
0001735;21076;7;X;;;QS
0001735;20300;8;X;;;QS
0001735;2044;9;A;;20;ML
0001736;13151;1;L;;13,2;G
0001736;0;2;Z;;;
0001736;773;3;O;;6;G
0001736;9948;4;X;;PL;MG
0001736;12764;5;X;;PL;MG
0001736;1883;6;X;;PL;MG
0001736;21076;7;X;;;QS
0001736;20300;8;X;;;QS
0001736;2044;9;A;;20;ML
0001737;13151;1;L;;13,2;G
0001737;0;2;Z;;;
0001737;773;3;O;;6;G
0001737;9948;4;X;;PL;MG
0001737;12764;5;X;;PL;MG
0001737;1883;6;X;;PL;MG
0001737;21076;7;X;;;QS
0001737;20300;8;X;;;QS
0001737;2044;9;A;;20;ML
0001738;13151;1;L;;13,2;G
0001738;0;2;Z;;;
0001738;773;3;O;;6;G
0001738;9948;4;X;;PL;MG
