KOD_SUKL;NAZEV;SILA;KODY_LATEK;NAZVY_LATEK
0254294;IBALGIN;400MG;"1593; 2378; 234";"IBUPROFENUM; MAGNESII STEARAS; CALCII CARBONAS"
0254045;PARALEN;500MG;"1064; 18178";"PARACETAMOLUM; POVIDONUM K 30"
0221079;HYLAK FORTE;;"15638; 15639; 15640; 15641; 3008";"ESCHERICHIAE COLI METABOLITA; ENTEROCOCCI FAECALIS METABOLITA; LACTOBACILLI ACIDOPHILI METABOLITA; LACTOBACILLI HELVETICI METABOLITA; KALII HYDROGENOPHOSPHAS"
0013368;XYZAL;5MG;"16445; 15495; 2378";"LEVOCETIRIZINI DIHYDROCHLORIDUM; LEVOCETIRIZINUM; MAGNESII STEARAS"
0223053;OZEMPIC;0,5MG;"18647; 4836; 20300; 2044";"SEMAGLUTIDUM; NATRII HYDROGENOPHOSPHAS DIHYDRICUS; ACIDUM HYDROCHLORICUM; AQUA PRO INIECTIONE"
